date,value
2015-07-27,9.6125
2015-07-28,9.7060
2015-07-29,9.7260
2015-07-30,9.7480
2015-07-31,9.5875
2015-08-03,9.4500
2015-08-04,9.4875
2015-08-05,9.6275
2015-08-06,9.5600
2015-08-07,9.7550
2015-08-10,10.0825
2015-08-11,9.8100
2015-08-12,9.1850
2015-08-13,9.3625
2015-08-14,9.2525
2015-08-17,9.2700
2015-08-18,9.1325
2015-08-19,9.0350
2015-08-20,9.2150
2015-08-21,9.0525
2015-08-24,8.9275
2015-08-25,8.9425
2015-08-26,8.7520
2015-08-27,8.8335
2015-08-28,8.8860
2015-08-31,8.8950
2015-09-01,8.7400
2015-09-02,8.7400
2015-09-03,8.6950
2015-09-04,8.6650
2015-09-08,8.7925
2015-09-09,8.7225
2015-09-10,8.7400
2015-09-11,8.7425
2015-09-14,8.8425
2015-09-15,8.8900
2015-09-16,8.8725
2015-09-17,8.8450
2015-09-18,8.6725
2015-09-21,8.7425
2015-09-22,8.6175
2015-09-23,8.6375
2015-09-24,8.6800
2015-09-25,8.8925
2015-09-28,8.7675
2015-09-29,8.8425
2015-09-30,8.9200
2015-10-01,8.7725
2015-10-02,8.7425
2015-10-05,8.8425
2015-10-06,8.8800
2015-10-07,8.9100
2015-10-08,8.8125
2015-10-09,8.8575
2015-10-12,8.8750
2015-10-13,9.1400
2015-10-14,9.1050
2015-10-15,9.0525
2015-10-16,8.9825
2015-10-19,8.9100
2015-10-20,8.9600
2015-10-21,9.0525
2015-10-22,8.9875
2015-10-23,8.9550
2015-10-26,8.8500
2015-10-27,8.9120
2015-10-28,8.8200
2015-10-29,8.7965
2015-10-30,8.8535
2015-11-02,8.7875
2015-11-03,8.7900
2015-11-04,8.8400
2015-11-05,8.6400
2015-11-06,8.6725
2015-11-09,8.6625
2015-11-10,8.5550
2015-11-11,8.6075
2015-11-12,8.6300
2015-11-13,8.5525
2015-11-16,8.5950
2015-11-17,8.6400
2015-11-18,8.5775
2015-11-19,8.6000
2015-11-20,8.5750
2015-11-23,8.6425
2015-11-24,8.6375
2015-11-25,8.7525
2015-11-27,8.7300
2015-11-30,8.8100
2015-12-01,8.8925
2015-12-02,8.9225
2015-12-03,8.9750
2015-12-04,9.0600
2015-12-07,8.8225
2015-12-08,8.7675
2015-12-09,8.7675
2015-12-10,8.7825
2015-12-11,8.7075
2015-12-14,8.7425
2015-12-15,8.6725
2015-12-16,8.6250
2015-12-17,8.7700
2015-12-18,8.9225
2015-12-21,8.9125
2015-12-22,8.8525
2015-12-23,8.8175
2015-12-24,8.7525
2015-12-28,8.6425
2015-12-29,8.6830
2015-12-30,8.7235
2015-12-31,8.6565
2016-01-04,8.5600
2016-01-05,8.5725
2016-01-06,8.6475
2016-01-07,8.6450
2016-01-08,8.6525
2016-01-11,8.6125
2016-01-12,8.7450
2016-01-13,8.8000
2016-01-14,8.8225
2016-01-15,8.7900
2016-01-19,8.8350
2016-01-20,8.7400
2016-01-21,8.7850
2016-01-22,8.7650
2016-01-25,8.8050
2016-01-26,8.7650
2016-01-27,8.8300
2016-01-28,8.6775
2016-01-29,8.8225
2016-02-01,8.8075
2016-02-02,8.8625
2016-02-03,8.7675
2016-02-04,8.7450
2016-02-05,8.6750
2016-02-08,8.6250
2016-02-09,8.6325
2016-02-10,8.6225
2016-02-11,8.7350
2016-02-12,8.7275
2016-02-16,8.7975
2016-02-17,8.8250
2016-02-18,8.7975
2016-02-19,8.7825
2016-02-22,8.8100
2016-02-23,8.6925
2016-02-24,8.6845
2016-02-25,8.6160
2016-02-26,8.6010
2016-02-29,8.5940
2016-03-01,8.5800
2016-03-02,8.6150
2016-03-03,8.6375
2016-03-04,8.7850
2016-03-07,8.8175
2016-03-08,8.8450
2016-03-09,8.8575
2016-03-10,8.8925
2016-03-11,8.9575
2016-03-14,8.9575
2016-03-15,8.9200
2016-03-16,8.9450
2016-03-17,8.9775
2016-03-18,8.9750
2016-03-21,9.0200
2016-03-22,9.1025
2016-03-23,9.0525
2016-03-24,9.1050
2016-03-28,9.0900
2016-03-29,9.1600
2016-03-30,9.0900
2016-03-31,9.1075
2016-04-01,9.1825
2016-04-04,9.1350
2016-04-05,9.0475
2016-04-06,9.0800
2016-04-07,9.0450
2016-04-08,9.1675
2016-04-11,9.2825
2016-04-12,9.3625
2016-04-13,9.5575
2016-04-14,9.4800
2016-04-15,9.5600
2016-04-18,9.5425
2016-04-19,9.8550
2016-04-20,10.0975
2016-04-21,10.1875
2016-04-22,9.8700
2016-04-25,9.9975
2016-04-26,10.1965
2016-04-27,10.2280
2016-04-28,10.2370
2016-04-29,10.2800
2016-05-02,10.4375
2016-05-03,10.3000
2016-05-04,10.3400
2016-05-05,10.1225
2016-05-06,10.3475
2016-05-09,10.2650
2016-05-10,10.8400
2016-05-11,10.7825
2016-05-12,10.7200
2016-05-13,10.6500
2016-05-16,10.6450
2016-05-17,10.8025
2016-05-18,10.7525
2016-05-19,10.7150
2016-05-20,10.7425
2016-05-23,10.5850
2016-05-24,10.5475
2016-05-25,10.8550
2016-05-26,10.7975
2016-05-27,10.8650
2016-05-31,10.7850
2016-06-01,10.9975
2016-06-02,11.4425
2016-06-03,11.3200
2016-06-06,11.3825
2016-06-07,11.4125
2016-06-08,11.7775
2016-06-09,11.7600
2016-06-10,11.7825
2016-06-13,11.6900
2016-06-14,11.6950
2016-06-15,11.5600
2016-06-16,11.3450
2016-06-17,11.5950
2016-06-20,11.4350
2016-06-21,11.3325
2016-06-22,11.3750
2016-06-23,11.2450
2016-06-24,11.0300
2016-06-27,11.3235
2016-06-28,11.4880
2016-06-29,11.4210
2016-06-30,11.7440
2016-07-01,11.6425
2016-07-05,11.1000
2016-07-06,11.0150
2016-07-07,10.5050
2016-07-08,10.8325
2016-07-11,10.7700
2016-07-12,11.0225
2016-07-13,11.2275
2016-07-14,10.8375
2016-07-15,10.7250
2016-07-18,10.7825
2016-07-19,10.4400
2016-07-20,10.2700
2016-07-21,10.3250
2016-07-22,10.0650
2016-07-25,9.8375
2016-07-26,9.9180
2016-07-27,10.0620
2016-07-28,9.9735
2016-07-29,10.2250
2016-08-01,9.8125
2016-08-02,9.7125
2016-08-03,9.7350
2016-08-04,9.7350
2016-08-05,9.8800
2016-08-08,10.0125
2016-08-09,10.0500
2016-08-10,9.9850
2016-08-11,10.0175
2016-08-12,9.9900
2016-08-15,10.2375
2016-08-16,10.1950
2016-08-17,10.3050
2016-08-18,10.3225
2016-08-19,10.2700
2016-08-22,10.3525
2016-08-23,10.3425
2016-08-24,10.3075
2016-08-25,9.9825
2016-08-26,9.8605
2016-08-29,9.7565
2016-08-30,9.5665
2016-08-31,9.4640
2016-09-01,9.4375
2016-09-02,9.5250
2016-09-06,9.5975
2016-09-07,9.7550
2016-09-08,9.7675
2016-09-09,9.8025
2016-09-12,9.6425
2016-09-13,9.4400
2016-09-14,9.4275
2016-09-15,9.5050
2016-09-16,9.6600
2016-09-19,9.7250
2016-09-20,9.8975
2016-09-21,9.7550
2016-09-22,9.7650
2016-09-23,9.5500
2016-09-26,9.4525
2016-09-27,9.5250
2016-09-28,9.4550
2016-09-29,9.5025
2016-09-30,9.5400
2016-10-03,9.7300
2016-10-04,9.6350
2016-10-05,9.5675
2016-10-06,9.5850
2016-10-07,9.5675
2016-10-10,9.5450
2016-10-11,9.5425
2016-10-12,9.4550
2016-10-13,9.5625
2016-10-14,9.6250
2016-10-17,9.7825
2016-10-18,9.7250
2016-10-19,9.8150
2016-10-20,9.7550
2016-10-21,9.8300
2016-10-24,9.9200
2016-10-25,9.9075
2016-10-26,10.1220
2016-10-27,10.1855
2016-10-28,10.0770
2016-10-31,10.0985
2016-11-01,9.9325
2016-11-02,9.8650
2016-11-03,9.8950
2016-11-04,9.9075
2016-11-07,9.9850
2016-11-08,10.1125
2016-11-09,9.9100
2016-11-10,9.9800
2016-11-11,9.8600
2016-11-14,9.8425
2016-11-15,9.8950
2016-11-16,9.8575
2016-11-17,9.8950
2016-11-18,9.9375
2016-11-21,10.2025
2016-11-22,10.3000
2016-11-23,10.3425
2016-11-25,10.4600
2016-11-28,10.5600
2016-11-29,10.4250
2016-11-30,10.3225
2016-12-01,10.2975
2016-12-02,10.2750
2016-12-05,10.4350
2016-12-06,10.4775
2016-12-07,10.4900
2016-12-08,10.2700
2016-12-09,10.3750
2016-12-12,10.3100
2016-12-13,10.2800
2016-12-14,10.2375
2016-12-15,10.2900
2016-12-16,10.3675
2016-12-19,10.2150
2016-12-20,10.0525
2016-12-21,10.0675
2016-12-22,9.9450
2016-12-23,9.8900
2016-12-27,10.1665
2016-12-28,10.1065
2016-12-29,10.0895
2016-12-30,10.0250
2017-01-03,9.9500
2017-01-04,10.1525
2017-01-05,10.1250
2017-01-06,9.9475
2017-01-09,10.0525
2017-01-10,10.1375
2017-01-11,10.1150
2017-01-12,10.4025
2017-01-13,10.4625
2017-01-17,10.6925
2017-01-18,10.7500
2017-01-19,10.7025
2017-01-20,10.6750
2017-01-23,10.5775
2017-01-24,10.5850
2017-01-25,10.5525
2017-01-26,10.4950
2017-01-27,10.4925
2017-01-30,10.2275
2017-01-31,10.2450
2017-02-01,10.3675
2017-02-02,10.3725
2017-02-03,10.2700
2017-02-06,10.3600
2017-02-07,10.4275
2017-02-08,10.5875
2017-02-09,10.5050
2017-02-10,10.5900
2017-02-13,10.5425
2017-02-14,10.4500
2017-02-15,10.6125
2017-02-16,10.4375
2017-02-17,10.3250
2017-02-21,10.2625
2017-02-22,10.2275
2017-02-23,10.1370
2017-02-24,10.1780
2017-02-27,10.1760
2017-02-28,10.3360
2017-03-01,10.5175
2017-03-02,10.3725
2017-03-03,10.3750
2017-03-06,10.3725
2017-03-07,10.2525
2017-03-08,10.2175
2017-03-09,10.1100
2017-03-10,10.0650
2017-03-13,10.0600
2017-03-14,9.9925
2017-03-15,9.9800
2017-03-16,10.0150
2017-03-17,10.0000
2017-03-20,9.9950
2017-03-21,10.0150
2017-03-22,9.9975
2017-03-23,9.9100
2017-03-24,9.7575
2017-03-27,9.7150
2017-03-28,9.7200
2017-03-29,9.6900
2017-03-30,9.6300
2017-03-31,9.4600
2017-04-03,9.3825
2017-04-04,9.3775
2017-04-05,9.4425
2017-04-06,9.4150
2017-04-07,9.4200
2017-04-10,9.4175
2017-04-11,9.3925
2017-04-12,9.4775
2017-04-13,9.5550
2017-04-17,9.5325
2017-04-18,9.4600
2017-04-19,9.5025
2017-04-20,9.4675
2017-04-21,9.5100
2017-04-24,9.6125
2017-04-25,9.5660
2017-04-26,9.5005
2017-04-27,9.5265
2017-04-28,9.5405
2017-05-01,9.7025
2017-05-02,9.6875
2017-05-03,9.7525
2017-05-04,9.7425
2017-05-05,9.7300
2017-05-08,9.6475
2017-05-09,9.7400
2017-05-10,9.7025
2017-05-11,9.6625
2017-05-12,9.6300
2017-05-15,9.6525
2017-05-16,9.7625
2017-05-17,9.7575
2017-05-18,9.4475
2017-05-19,9.5300
2017-05-22,9.5650
2017-05-23,9.4825
2017-05-24,9.4825
2017-05-25,9.3950
2017-05-26,9.2650
2017-05-30,9.1275
2017-05-31,9.1600
2017-06-01,9.1225
2017-06-02,9.2125
2017-06-05,9.2200
2017-06-06,9.2350
2017-06-07,9.3075
2017-06-08,9.3800
2017-06-09,9.4150
2017-06-12,9.3125
2017-06-13,9.3250
2017-06-14,9.3175
2017-06-15,9.3475
2017-06-16,9.3900
2017-06-19,9.3775
2017-06-20,9.2775
2017-06-21,9.1875
2017-06-22,9.0400
2017-06-23,9.0450
2017-06-26,9.0675
2017-06-27,9.1220
2017-06-28,9.1600
2017-06-29,9.1865
2017-06-30,9.4605
2017-07-03,9.7000
2017-07-05,9.8175
2017-07-06,9.8575
2017-07-07,10.0100
2017-07-10,10.2475
2017-07-11,10.2925
2017-07-12,10.2075
2017-07-13,9.7550
2017-07-14,9.8900
2017-07-17,9.8500
2017-07-18,9.8950
2017-07-19,9.9975
2017-07-20,10.1325
2017-07-21,10.0900
2017-07-24,9.9750
2017-07-25,9.8150
2017-07-26,9.8975
2017-07-27,9.9685
2017-07-28,10.0390
2017-07-31,9.9850
2017-08-01,9.6425
2017-08-02,9.7075
2017-08-03,9.5400
2017-08-04,9.5225
2017-08-07,9.6400
2017-08-08,9.6700
2017-08-09,9.6600
2017-08-10,9.3400
2017-08-11,9.3825
2017-08-14,9.3275
2017-08-15,9.2175
2017-08-16,9.2175
2017-08-17,9.3025
2017-08-18,9.3750
2017-08-21,9.3250
2017-08-22,9.3375
2017-08-23,9.3500
2017-08-24,9.4125
